question,wiki-url,score 1,score 2,score 3,score 4,answer 1,answer 2,answer 3,answer 4
"Why most nouns, adjectives and verbs are largely disyllabic in modern Chinese?",http://en.wikipedia.org/wiki/Chinese_language,Hard,Hard,Meidum,Medium,phonological attrition,phonological attrition,phonological attrition,Because of phonological attrition.
Why does most Chinese people consider the spoken varieties as one single language?,http://en.wikipedia.org/wiki/Chinese_language,Hard,Hard,Easy,Easy,"speakers share a common culture and history, as well as a shared national identity and a common written form","speakers share a common culture and history, as well as a shared national identity and a common written form.","speakers share a common culture and history, as well as a shared national identity and a common written form.","Because speakers share a common culture and history, as well as a shared national identity and a common written form."
What family is Chinese part of?,http://en.wikipedia.org/wiki/Chinese_language,Easy,Easy,Easy,Easy,Sino-Tibetan language family,Sino-Tibetan language family ,Sino-Tibetan language family ,Sino-Tibetan language family.
What dialect is standard Chinese based on? ,http://en.wikipedia.org/wiki/Chinese_language,Easy,Easy,Easy,Easy,Beijing dialect of Mandarin, Beijing dialect ,Beijing dialect of Mandarin,The Beijing dialect of Mandarin.
How many dialect groups does Chinese have?,http://en.wikipedia.org/wiki/Chinese_language,Easy,Easy,Easy,Easy,Seven,Seven,Seven,Seven.
How would Chinese compare to English in terms of number of syllables corresponding to one morpheme?,http://en.wikipedia.org/wiki/Chinese_language,Hard,Hard,Medium,Hard,English has more more multi-syallable morphemes than Chinese,English has more more multi-syallable morphemes than Chinese,English has more multi-syllable morphemes while most Chinese morpheme is a single syllable,"In Chinese, a morpheme is a single syllable; In contrast, English has many multi-syllable morphemes, both bound and free."
"What language standard is now used in education, the media, and formal situations in Mainland China?",http://en.wikipedia.org/wiki/Chinese_language,Easy,Easy,Medium,Easy,Mandarin,Mandarin,P?t?nghu‡/Mandarin,P?t?nghu‡.
In what pronunciation tradition are Chinese words incorporated into other languagesí vocabulary?,http://en.wikipedia.org/wiki/Chinese_language,Medium,Easy,Medium,Medium,Sino-Xenic pronunciation, Sino-Xenic pronunciations. ,Sino-Xenic pronunciation,Sino-Xenic pronunciations.
What is a property of Old Chinese?,http://en.wikipedia.org/wiki/Chinese_language,Hard,Medium,Hard,Hard,Lacks retroflex and palatal obstruents,(tag: I think the quesiton could be answered in different ways) Answer:acking retroflex and palatal obstruents,It lacks inflection ,It lacks retroflex and palatal obstruents
Why would Chinese language accepted coinages from other languages?,http://en.wikipedia.org/wiki/Chinese_language,Hard,Hard,Hard,Middle,Because their foreign origin was hidden by their written form,Because their foreign origin was hidden by their written form,Their foreign origin was hidden by their written form,Because their foreign origin was hidden by their written form.
Where is the simplified Chinese character system mainly used in?,http://en.wikipedia.org/wiki/Chinese_language,Hard,Easy,Hard,Hard,In mainland China,In mainland China,In mainland China,Mainland China.
When were the first written records in Chinese created?,http://en.wikipedia.org/wiki/Chinese_language,Easy,Easy,Easy,Easy,Shang dynasty,Shang dynasty, Shang dynasty-era ,In Shang dynasty./ 1250 BCE.
Which language family does Chinese belong to?,http://en.wikipedia.org/wiki/Chinese_language,Easy,Easy,Easy,Easy,Sino-Tibetan language family,The Sino-Tibetan language family.,The Sino-Tibetan language family.,The Sino-Tibetan language family.
What is something that Chinese uses to distinguish words?,http://en.wikipedia.org/wiki/Chinese_language,Easy,Medium,Easy,Easy,Tones,Tone,Tones,Tone.
Where is Standard Mandarin treated as an official language?,http://en.wikipedia.org/wiki/Chinese_language,Hard,Medium,Medium,Medium,People's Republic of China and the Republic of China (Taiwan),People Republic of China,"official language of both the People's Republic of China and the Republic of China (Taiwan), one of the four official languages of Singapore, and one of the six official languages of the United Nations",In the United Nations./ In Singapore./ the People's Republic of China./ The Republic of China.
Why is Chinese not seriously affected by loanwords?,http://en.wikipedia.org/wiki/Chinese_language,Medium,Medium,Medium,Medium,Because the foreign origin of those words was hidden by Chinese written form, the foreign origin of those words was hidden by Chinese written form., the foreign origin of those words was hidden by Chinese written form.,Because the foreign origin of those words was hidden by Chinese written form.
What is a grammatical feature in Chinese that is also true in Korean and Japanese?,http://en.wikipedia.org/wiki/Chinese_language,Hard,Hard,Medium,Medium,An extensive system of classifiers and measure words," an extensive system of classifiers and measure words,",extensive system of classifiers and measure words.,Having an extensive system of classifiers and measure words.
What is the difference between dialect and dialect group by convention?,http://en.wikipedia.org/wiki/Chinese_language,Hard,Hard,Hard,Hard,Dialect refers to the speech of a particular place (regardless of status) and dialect group refers to a regional grouping such as Mandarin or Wu, Chinese linguistics is to use dialect for the speech of a particular place (regardless of status) while regional groupings like Mandarin and Wu are called dialect groups. ,dialect refers to the speech of a particular place (regardless of status) and dialect group refers to a regional grouping ,"By convention, dialect refers to the speech of a particular place (regardless of status) and dialect group refers to a regional grouping such as Mandarin or Wu."
Why is a word in Chinese different from a character?,http://en.wikipedia.org/wiki/Chinese_language,Hard,Hard,Hard,Hard,Because most Chinese words are made up of two or more characters,Because most Chinese words are made up of two or more characters.,most Chinese words are made up of two or more characters.,Because most Chinese words are made up of two or more characters.
What makes it easy for current Chinese users to be able to read the alternative writing system?,http://en.wikipedia.org/wiki/Chinese_language,Hard,Medium,Hard,Hard,The Internet,Internet,Internet,"The Internet, as it provides the platform to practice reading these alternative systems, be it traditional or simplified."
When was the King's Speech released in the United Kingdom?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,Easy,7 January 2011,"January 7, 2011",7 January 2011,"January 7, 2011"
Who directed the King's Speech?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,Easy,Tom Hooper,Tom Hooper,Tom Hooper,Tom Hooper
How does the film begin?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,Easy,"The film begins with the scene where Prince Albert, Duke of York, second son of King George V, stammers through his speech closing the British Empire Exhibition at Wembley Stadium.","The film begins with the scene where Prince Albert, Duke of York, second son of King George V, stammers through his speech closing the British Empire Exhibition at Wembley Stadium.","The film begins with the scene where Prince Albert, Duke of York, second son of King George V, stammers through his speech closing the British Empire Exhibition at Wembley Stadium.","The film begins with the scene where Prince Albert, Duke of York, second son of King George V, stammers through his speech closing the British Empire Exhibition at Wembley Stadium."
What does King George V do after his 1934 Christmas radio address? ,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,Medium,"he explains to his son the importance of broadcasting to a modern monarchy and demands that Albert train himself, starting with a reading of his father's speech.",He explains to his son the importance of broadcasting to a modern monarchy,"He explains to his son the importance of broadcasting to a modern monarchy and demands that Albert train himself, starting with a reading of his father's speech.",He explains to his son the importance of broadcasting to a modern monarchy
What was Lancaster House used for?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,Medium,The Lancaster House was used for the interiors of Buckingham Palace,It was used for the interiors of Buckingham Palace,It was used for the interiors of Buckingham Palace that the King walks through prior to making his speech and for the official photograph afterwards,It was used for the interiors of Buckingham Palace
What was the films final rating given by the British Board of Film Classification?,http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Hard,Hard,12A,12A,12A,12A
Which rating website gave the highest score?,http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Unacceptable,Unacceptable,Rotten Tomatoes,Rotten Tomatoes,Rotten Tomatoes,Rotten Tomatoes
Where was Dempsey born?,http://en.wikipedia.org/wiki/Clint_Dempsey,Easy,Easy,Easy,Easy,"Nacogdoches, Texas","Nacogdoches, Texas","Nacogdoches, Texas","Nacogdoches, Texas"
Where did Dempsey first represent the United States?,http://en.wikipedia.org/wiki/Clint_Dempsey,Easy,Easy,Easy,Easy,at the 2003 FIFA World Youth Championship,The 2003 FIFA World Youth Championship,2003 FIFA World Youth Championship,The 2003 FIFA World Youth Championship
Where was the 2006 World Cup?,http://en.wikipedia.org/wiki/Clint_Dempsey,Easy,Easy,Easy,Easy,Germany,Germany,Germany,Germany
When did Dempsey's sister Jennifer die?,http://en.wikipedia.org/wiki/Clint_Dempsey,Medium,Medium,Medium,Medium,"November 27, 1995","November 27, 1995","November 27, 1995","November 27, 1995"
What year did Dempsey start playing for Fulham?,http://en.wikipedia.org/wiki/Clint_Dempsey,Medium,Medium,Medium,Medium,2006,2006,2006,2006
In what match did DEmpsey score his 29th and 30th international goal?,http://en.wikipedia.org/wiki/Clint_Dempsey,Medium,Medium,Medium,Medium,"a qualifying match against Guatemala on October 16, 2012",In a qualifying match against Guatemala,"During a qualifying match against Guatemala on October 16, 2012",In a qualifying match against Guatemala
What position did Dempsey frequently play for the National Team?,http://en.wikipedia.org/wiki/Clint_Dempsey,Hard,Hard,Hard,Hard,Striker,Striker,Striker,Striker
What was Dempsey the first American male to accomplish?,http://en.wikipedia.org/wiki/Clint_Dempsey,Easy,Easy,Easy,Easy,Score in three World Cups,Scoring in three World Cups,Score in three World Cups,Scoring in three World Cups
Where did Dempsey's family live for much of his childhood?,http://en.wikipedia.org/wiki/Clint_Dempsey,Easy,Easy,Easy,Easy,In a trailer park,In a trailer park,In a trailer park,In a trailer park
Who did Dempsey and his siblings grow up playing soccer with?,http://en.wikipedia.org/wiki/Clint_Dempsey,Easy,Easy,Easy,Easy,Hispanic immigrants,Hispanic immigrants,Hispanic Immigrants,Hispanic immigrants
What was Dempsey's preferred and more normal role?,http://en.wikipedia.org/wiki/Clint_Dempsey,Easy,Easy,Easy,Easy,Off the striker,Off the striker,Off the striker,Off the striker
Who is Dempsey married to?,http://en.wikipedia.org/wiki/Clint_Dempsey,Easy,Easy,Easy,Easy,Bethany Keegan Dempsey,Bethany Keegan Dempsey,Bethany Keegan Dempsey,Bethany Keegan Dempsey
Which event helped Dempsey develop a deeper motivation to pursue soccer?,http://en.wikipedia.org/wiki/Clint_Dempsey,Hard,Hard,Hard,Hard,Loss of his sister,The death of his sister,Losing his sister,The death of his sister
Why was Dempsey's goal against Algeria disallowed?,http://en.wikipedia.org/wiki/Clint_Dempsey,Medium,Medium,Medium,Medium,It was offside,It was offside,It was called offside,It was offside
Who was The King's Speech written by?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,Easy,David Seidler,David Seidler,David Seidler,David Seidler
Who plays King George VI?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,Easy,Colin Firth,Colin Firth,Colin Firth,Colin Firth
When did Britain declare war on Germany?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,Medium,1939,1939,1939,1939
Who was the voice coach for this film?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,Medium,Neil Swain,Neil Swain,Neil Swain,Neil Swain
Who composed the film's original score?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,Easy,Alexandre Desplat,Alexandre Desplat,Alexandre Desplat,Alexandre Desplat
How many Oscar nominations did the film receive?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,Easy,,12,12,12
How was Logue qualified to be a speech therapist?,http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Hard,Hard,He treated shell-shocked American soldiers returning from The Great War.,He treated shell-shocked American soldiers returning from The Great War.,He had no formal qualifications but had experience treating shell-shocked American soldiers returning from The Great War.,He treated shell-shocked American soldiers returning from The Great War.
What academy award  did the King's Speech win?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Easy,Medium,Best Picture,Best Picture,Best Picture,Best Picture
How many awards did The King's Speech win at the 64th British Academy Film Awards,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,Easy,7,7,7,7
What was the rotten tomatoes score for the film,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,Easy,95%,95%,95%,95%
How many critics contributed to the rotten tomato score,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,Easy,261,261,261,261
What is one reason a film may receive a high classification,http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Hard,Hard,profanity,profanity,profanity,profanity
How much did Slumdog MIllionaire take in in 2008,http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Unacceptable,Hard,2010000,2010000,"20,10,000",2010000
Is the film's score original?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Easy,Medium,Easy,Yes,Yes,Yes,Yes
What film earned over 3 million for four consecutive weeks in 2010?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Hard,Medium,,Toy Story,Toy Story,Toy Story
What is the film's estimated net profit?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,Easy,$30ñ40 million,30 - 40 Million Dollars,$ 30-40 million,$30-40 Million
What is Allocine?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,Easy,A French cinema site,A French cinema site,A French cinema site,A French cinema site
At what film festival did the film win the people's choice award?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,Easy,the 2010 toronto International Film Festival,The 2010 Toronto Film Festival,the 2010 toronto International Film Festival,2010 Toronto Film Festival
Were all songs written and composed by Alexandre Desplat?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,Medium,No,No,No,No
How does Desplat create a dated sound?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,Medium,By using old microphones,By using old microphones,By recording the score on old microphones extracted from the EMI archives,Using old microphones
What inspired Seidler to write the King's Speech?,http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Hard,Hard,Seidler read about George VI's life after overcoming a stuttering condition he endured during his youth.,He was inspired by the King's stammer,Seidler read about George VI's life after overcoming a stuttering condition he endured during his youth.,He had a stammer as a boy
How many goals did Dempsey score in New England Revolution?,http://en.wikipedia.org/wiki/Clint_Dempsey,Medium,Medium,Medium,Easy,25,25,25,25
When did Dempsey make his first appearance with the senior national team?,http://en.wikipedia.org/wiki/Clint_Dempsey,Easy,Easy,Easy,Easy,"November 17, 2004",2004,"November 17, 2004",2004
When did Dempsey transfer from Fulham to Tottenham?,http://en.wikipedia.org/wiki/Clint_Dempsey,Medium,Medium,Medium,Easy,"August 30, 2012","August 31, 2012","August 31, 2012","August 31, 2012"
Who scored the same number of international goals in the United States team?,http://en.wikipedia.org/wiki/Clint_Dempsey,Hard,Hard,Hard,Medium,Landon Donovan,Landon Donovan,Landon Donovan,Landon Donovan
What was Dempsey's major during undergraduate?,http://en.wikipedia.org/wiki/Clint_Dempsey,Hard,Hard,Hard,Medium,Health and Exercise Science,Health and Exercise Science,Health and Exercise Science,Health and Exercise Science
What was the number of Dempsey's jersey in Tottenham?,http://en.wikipedia.org/wiki/Clint_Dempsey,Hard,Hard,,Hard,,2,,2
Who scored the winning goal of the 2010 UEFA Europa League Final?,http://en.wikipedia.org/wiki/Clint_Dempsey,Hard,Hard,,Hard,Diego Forlan,Diego Forlan,,Diego Forlan
When was Dempsey drafted by New England Revolution?,http://en.wikipedia.org/wiki/Clint_Dempsey,Easy,Easy,Easy,Easy,2004,2004,2004,2004
How many goals did Dempsey score in Tottenham?,http://en.wikipedia.org/wiki/Clint_Dempsey,Easy,Easy,Easy,Easy,12,12,,12
How many FIFA World Cups did Dempsey attend?,http://en.wikipedia.org/wiki/Clint_Dempsey,Easy,Easy,Medium,Easy,3,3,3,3
Which year did United States national team go to the finals of FIFA Confederations Cup?,http://en.wikipedia.org/wiki/Clint_Dempsey,Medium,Medium,Medium,Medium,2009,2009,2010,2009
When did Dempsey announce his retirement?,http://en.wikipedia.org/wiki/Clint_Dempsey,Easy,Easy,,Easy,"August 28, 2018","August 29, 2018",,"August 29, 2018"
Which prize was Dempsey awarded in the 2009 FIFA Confederations Cup?,http://en.wikipedia.org/wiki/Clint_Dempsey,Easy,Easy,,Easy,Bronze Ball,Bronze Ball,,Bronze Ball
Which team won the 2010 UEFA Europa League Final?,http://en.wikipedia.org/wiki/Clint_Dempsey,Medium,Medium,,Medium,Atletico Madrid,Atletico Madrid,,Atletico Madrid
What is the name of the Hippogriff Malfoy and Harry are seen interacting with in the movie?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Easy,Medium,Easy,Buckbeak,Buckbeak,Buckbeak,Buckbeak
Who played Molly Weasley?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Medium,Easy,Julie Walters,Julie Walters,Julie Walters,Julie Walters
Who delivers Harry to the Leaky Cauldron?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Medium,Easy,Knight Bus,The Knight Bus,The Knight Bus,Knight Bus
What happened to the Fat Lady's portrait?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium,Hard,Easy,Found ruined and empty,Found ruined,Ruined and empty,Was found ruined and empty
How did Professor Lupin drive away the Dementors?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,With Patronus Charm,Patronus Charm,Using Patronus Charm,Patronus Charm
What age was Harry Potter when the third book happened?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,Medium,13,13 years,13-year old,13
Who has Buckbeak sentenced to death?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Medium,Lucius Malfoy,Lucius Malfoy,Lucius Malfoy,Lucius Malfoy
What did Harry feel when he learned that Sirius was his godfather?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,Medium,Shocked,shocked,Shocked,shocked
Where does Harry spend his summers,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Medium,Privet Drive,Dusley's,At Dusley's,Dusley's
Whose class went awry when Draco Malfoy provoked a Hippogriff,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,Medium,Hagrid,Rubeus Hagrid ,Rubeus Hagrid ,Hagrid
When does Lupin transform into a werewolf?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,Hard,During full moon,full moon,When the full moon rises,During the full moon
Who is the dog that appears and drags Ron and Scabbers into a hole at Whomping Willow's,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,Hard,Sirius,Sirius,Sirius,Sirius
How did Harry and Hermione travel back in time,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Easy,Hard,Using the Time Turner,Time Turner,The Time Turner,With Time Turner
What did Sirius intended to do when he escaped from Azkaban,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Medium,Hard,Kill Harry,Kill Harry Potter,Intends to kill Harry,kill Harry
Why did Professor Lupin resign?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Easy,Hard,As he was a werewolf,To prevent uproar from parents,Prevent uproar,Prevent uproar from parents
When was Harry Potter and the prisoner of Azkaban released?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,2004,In 2004,2004,2004
Who were the producers of the film?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy," David Heyman, Chris Columbus, Mark Radcliffe"," David Heyman, Chris Columbus, Mark Radcliffe"," David Heyman, Chris Columbus, Mark Radcliffe"," David Heyman, Chris Columbus, Mark Radcliffe"
Where was the Knight Bus sequence shot?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Medium,Easy,Medium,London,London,In London,In London
How many BAFTA awards was this film nominated for?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,four,4,four,four
How much did the film gross worldwide?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium,Easy,Easy,$796.7 million,$796.7 million,$796 million,$796.7 million
How many films in the series did John Williams give a background score?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Medium,Medium,Hard,three,three,3,Three
Who was Harry Potter's godfather?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Easy,Medium,Easy,Sirius,Sirius,Sirius,Sirius
What was the animal form of Peter Pettigrew ?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,Medium,rat,A rat,Rat,rat
Who give the Marauder's Map to Harry Potter?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Medium,Medium,Lupin,Lupin,Lupin,Lupin
Who cast the Patronous spell on Harry Potter?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,Medium,Harry Potter,Harry Potter himself,Harry Potter from the past,Harry Potter
Who played the role of Harry Potter in the film?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium,Hard,Easy,Daniel Radcliffe,Daniel Radcliffe,Daniel Radcliffe,Daniel Radcliffe
Who was the author of the Harry Potter book series?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Hard,Hard,J.K Rowlig,J.K. Rowlig,JK Rowlig,J.K. Rowlig
Which installment of the movie series does Cho Chang first appear in?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Medium,Hard,Hard,Fourth installment,fourth installment,Fourth,Fourth film
Which is the fourth film in the Harry Potter movie series?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,Hard,Goblet of fire,Goblet of fire,Goblet of fire,Goblet of fire
Who tells Dumbledore about Sirius having entered the castle?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,Easy,Fat Lady's painting,Fat Lady,Fat lady's painting,fat lady's painting
When was the film released?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,31 May 2004,31st May 2004,31 May 2004,31 May 2004
Where was the film released?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,United Kingdom,United Kingdom,United Kingdom,United Kingdom
What awards was the film nominated for?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium,Easy,Easy,Best Original Music Score and Best Visual Effects at the 77th Academy Awards in 2005.,Best Original Music Score and Best Visual Effects,Best Original Music Score and Best Visual Effects.,Best Original Music Score and Best Visual Effects at the 77th Academy
Why did Dementors suddenly board the train?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium,Medium,Medium,searching for Sirius,searching for Black,to search for Black,searching for Black
WHy was the Fat Lady in another painting?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Hard,Medium,Hard,Sirius Black has entered the castle,She was terrified,Because she was terrified and hiding,Sirius Black has entered the castle and she was terrified
Why did Chris Columbus decide not to helm for the third installment?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Hard,Easy,Hard,to give each [film] the time it required.,hadn't seen [his] own kids for supper in the week for about two and a half years.,Because he hadn't seen his own kids for supper in the week for about two and a half years.,He hadn't seen [his] own kids for supper in the week for about two and a half years.
Why did Cuaron hire master underwater Puppeteer?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Easy,Easy,"to help, using puppets to study the potential movement of the Dementors",figure out the movements of dementors,To figure out the movements of dementors,Figure out the movements of dementors
Who was Ron's Pet?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,Scabbers,Scabbers,Scabbers,Scabbers
What was Sirius falsely accused of?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Hard,Easy,Easy,"betraying the Potters' hiding location to Voldemort, and murdering their mutual friend Peter Pettigrew",Of betraying the Potters to Voldemort,"of betraying the Potters to Voldemort, as well as murdering twelve Muggles and their mutual friend, Peter Pettigrew.","Betraying the Potters to Voldemort, as well as murdering twelve Muggles and their mutual friend, Peter Pettigrew."
Why did Harry become Angry at Marge?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,Hard,insults Harry's parents,Aunt Marge Dursley insults his parents,Because she insults Harry's parents,She insults his parents
Why did hippogriff buckbeak attack Malloy?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,Medium,deliberately provokes a hippogriff,Because he deliberately provoked the hippogriff,As he deliberately provoked Buckbeak,Hippogriff provoked
What caused Harry to fall off his broomstick?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,Medium,dementors attack Harry,dementors attack Harry,dementors attack Harry,dementors attack Harry
Who taught Harry the Patronus Charm?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,Lupin,Lupin,Lupin,Lupin
Is Ronís pet named scabbers?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,Yes,Yes,Yes,Yes
Who played as the Transfiguration Teacher at Hogwarts?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,Medium,Maggie Smith,Maggie Smith,Maggie Smith,Maggie Smith
When did Principal Photography begin?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium,Easy,Easy,24 February 2003,24 February 2003,24 February 2003,24 February 2003
When was Harry Potter and the prisoner of Azkaban released?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,2004,2004,2004,2004
What is Emma Watson's character's name in the movie?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Medium,Easy,Hermoine Granger,Hermoine Granger,Hermoine Granger,Hermoine Granger
Who directed the movie?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Medium,Easy,Alfonso Cuaron,Alfonso Cuaron,Alfonso Cuaron,Alfonso Cuaron
What's the name of this movie's sequel,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium,Hard,Hard,the Goblet of Fire,Harry Potter and the Goblet of Fire,Goblet of Fire,Harry Potter and the Goblet of Fire
Who's the headmaster of Hogwarts?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,Dumbledore,Albus Dumbledore,Dumbledore,Albus Dumbledore
Is Timothy Hall a supporting actor in the movie?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,Medium,Yes,Yes,Yes,Yes
